club,club_type,target_distance,power_percent,power_range,final_distance,error,abs_error,iterations,found,reachable
3I,iron,50,0.334375,56.84374999999999,50.39163009005549,-0.391630090055493,0.391630090055493,7,True,True
3I,iron,60,0.36718750000000006,62.42187500000001,59.596155068080826,0.40384493191917414,0.40384493191917414,8,True,True
3I,iron,70,0.40058593750000004,68.09960937500001,70.49162343849885,-0.4916234384988485,0.4916234384988485,11,True,True
3I,iron,80,0.43054199218749994,73.19213867187499,80.49840986307295,-0.49840986307295054,0.49840986307295054,14,True,True
3I,iron,90,0.46093750000000006,78.35937500000001,90.03262986651738,-0.03262986651738231,0.03262986651738231,8,True,True
3I,iron,100,0.48671875,82.7421875,100.20231420929177,-0.2023142092917709,0.2023142092917709,9,True,True
3I,iron,110,0.5125000000000001,87.12500000000001,109.6186348189087,0.38136518109129725,0.38136518109129725,5,True,True
3I,iron,120,0.540625,91.90625,119.79363760047306,0.20636239952693813,0.20636239952693813,7,True,True
3I,iron,130,0.5687500000000001,96.68750000000001,130.26561014111581,-0.2656101411158147,0.2656101411158147,6,True,True
3I,iron,140,0.5921875000000001,100.67187500000001,140.03766740355428,-0.037667403554280554,0.037667403554280554,8,True,True
3I,iron,150,0.615625,104.65625,150.02598278955824,-0.025982789558241848,0.025982789558241848,7,True,True
3I,iron,170,0.6671875,113.42187500000001,170.29768555277874,-0.297685552778745,0.297685552778745,8,True,True
3I,iron,180,0.6888671875000001,117.10742187500001,180.45135389544174,-0.4513538954417413,0.4513538954417413,11,True,True
3I,iron,190,0.7140625,121.39062500000001,190.1758762444962,-0.17587624449620876,0.17587624449620876,8,True,True
3I,iron,200,0.7372070312500001,125.32519531250001,199.55041731929802,0.4495826807019796,0.4495826807019796,12,True,True
3I,iron,210,0.7585937500000001,128.9609375,210.0311020232114,-0.031102023211388996,0.031102023211388996,9,True,True
3I,iron,220,0.7843750000000002,133.34375000000003,220.21938963249045,-0.21938963249044718,0.21938963249044718,7,True,True
3I,iron,230,0.8078125,137.328125,229.95215367058512,0.047846329414880984,0.047846329414880984,8,True,True
3I,iron,240,0.83037109375,141.1630859375,239.55493045927645,0.4450695407235514,0.4450695407235514,12,True,True
3I,iron,260,0.87548828125,148.8330078125,260.43288947205417,-0.43288947205417116,0.43288947205417116,12,True,True
3I,iron,270,0.8980468750000001,152.66796875000003,270.22492866525084,-0.2249286652508431,0.2249286652508431,10,True,True
3I,iron,280,0.9214843750000001,156.65234375000003,280.2717324860602,-0.27173248606021616,0.27173248606021616,10,True,True
3I,iron,290,0.9449218750000001,160.63671875000003,290.35944551737725,-0.35944551737725305,0.35944551737725305,10,True,True
3I,iron,300,0.9683593750000001,164.62109375000003,300.4822141280308,-0.48221412803081876,0.48221412803081876,10,True,True
4I,iron,50,0.3390625,54.25,50.032746356024326,-0.03274635602432596,0.03274635602432596,8,True,True
4I,iron,60,0.37187500000000007,59.500000000000014,59.565328336694385,0.4346716633056147,0.4346716633056147,7,True,True
4I,iron,70,0.40468750000000003,64.75,69.78301200633977,0.2169879936602257,0.2169879936602257,8,True,True
4I,iron,80,0.4375,70.0,79.71814206383166,0.2818579361683362,0.2818579361683362,5,True,True
4I,iron,90,0.466650390625,74.6640625,90.47951255226387,-0.4795125522638699,0.4795125522638699,13,True,True
4I,iron,100,0.494921875,79.1875,99.55995681253285,0.440043187467154,0.440043187467154,10,True,True
4I,iron,110,0.5218750000000001,83.50000000000001,109.74257232239134,0.2574276776086606,0.2574276776086606,7,True,True
4I,iron,120,0.55,88.0,120.49623890847982,-0.49623890847982466,0.49623890847982466,3,True,True
4I,iron,130,0.578125,92.5,130.46677293776062,-0.46677293776062356,0.46677293776062356,7,True,True
4I,iron,140,0.6015625,96.25,139.7237756931423,0.2762243068576993,0.2762243068576993,8,True,True
4I,iron,150,0.62734375,100.375,149.66144159978106,0.33855840021894323,0.33855840021894323,9,True,True
4I,iron,160,0.6519531250000001,104.31250000000003,159.54709483133755,0.4529051686624541,0.4529051686624541,10,True,True
4I,iron,170,0.6765625000000002,108.25000000000003,169.60681060048447,0.3931893995155349,0.3931893995155349,8,True,True
4I,iron,180,0.7000000000000001,112.00000000000001,179.57197919745244,0.42802080254756447,0.42802080254756447,1,True,True
4I,iron,190,0.7234375,115.75,189.67871264939615,0.3212873506038534,0.3212873506038534,8,True,True
4I,iron,200,0.74921875,119.875,200.43898399701146,-0.4389839970114622,0.4389839970114622,9,True,True
